Tecnologías Innovadoras,"Economizer, TERRAMETER (Evib real), VARIOCONTROL, ECOMODE, TELEMATIC","Economizer, TERRAMETER (Evib real), VARIOCONTROL, ECOMODE, TELEMATIC","Economizer, TERRAMETER (Evib real), VARIOCONTROL, ECOMODE, TELEMATIC","Economizer, TERRAMETER (Evib real), VARIOCONTROL, ECOMODE, TELEMATIC","Economizer, TERRAMETER (Evib real), VARIOCONTROL, ECOMODE, TELEMATIC","EcoStop, SmartCompaction, vibración adaptativa","Dynapac Compaction meter (DCM), Dyn@lyzer","Dynapac Compaction meter (DCM), Dyn@lyzer","MDP, CMV, AccuGrade Compaction, Eco-mode, Vision Link","CMV, AccuGrade Compaction, Eco-mode, Vision Link","MDP, CMV, AccuGrade Compaction, Eco-mode, Vision Link","	ReadyKit básico (en algunas versiones), cabina optimizada","Tracción automática, vibración doble, telematics-ready",XCMG Telematics ,"ECOdrop, telemetría, control automático de vibración","	LiveLinks Telematics, CCOMPATRONIC (compaction measurement device)",Vision Link,
USP1,"Operación Intuitiva
* Un switch para cada función
* Símbolos intuitivos facilitan la operación
","Operación Intuitiva
* Un switch para cada función
* Símbolos intuitivos facilitan la operación
","Operación Intuitiva
* Un switch para cada función
* Símbolos intuitivos facilitan la operación
","Operación Intuitiva
* Un switch para cada función
* Símbolos intuitivos facilitan la operación
","Operación Intuitiva
* Un switch para cada función
* Símbolos intuitivos facilitan la operación
","Conducción y maniobrabilidad
* Bloqueo integrado de la articulación pendular
* Control de tracción para una óptima transmisión de potencia","Controles intuitivos: Palancas simples y panel de instrumentos con indicadores claros, fáciles de operar incluso por personal con poca experiencia.","Controles intuitivos: Palancas simples y panel de instrumentos con indicadores claros, fáciles de operar incluso por personal con poca experiencia.","Controles ergonómicos y simples:

* Palanca de control única para avance, vibración y dirección.
* Instrumentación digital fácil de leer.","Controles ergonómicos y simples:

* Palanca de control única para avance, vibración y dirección.
* Pantalla integranda en palanca de control.
* Cambio de velocidad asistida
* Instrumentación digital fácil de leer.","Controles ergonómicos y simples:

* Palanca de control única para avance, vibración y dirección.
* Instrumentación digital fácil de leer.","Controles básicos y mecánicos:

* Fáciles de usar, ideales para operadores con poca capacitación.
* Palanca de avance/reversa con control de vibración independiente.","Controles fáciles de usar:

* Palanca tipo joystick para dirección, vibración y cambio de marcha.","Diseño robusto, excelente acceso a mantenimiento y componentes estandarizados para máxima disponibilidad en campo.","Estación del operador
El control intuitivo de la máquina facilita su uso. Las funciones avanzadas garantizan que incluso los principiantes sean productivos y de alto rendimiento.","Diseño robusto, excelente acceso a mantenimiento y componentes estandarizados para máxima disponibilidad en campo.","Su sistema de operación es muy sencillo: cuenta únicamente con dos palancas de control, una para el acelerador y otra para el control de avance/retroceso y freno","Diseño robusto, excelente acceso a mantenimiento y componentes estandarizados para máxima disponibilidad en campo."
USP2,"Rendimiento de compactación más alto
* Máximas amplitudes para un efecto de compactación más profundo (Larger amplitud 2,2 mm)
* Flexibilidad en el montaje del kit pata de cabra","Rendimiento de compactación más alto
* Máximas amplitudes para un efecto de compactación más profundo (Larger amplitud 2,2 mm)
* Flexibilidad en el montaje del kit pata de cabra","Rendimiento de compactación más alto
* Máximas amplitudes para un efecto de compactación más profundo (Larger amplitud 2,2 mm)
* Flexibilidad en el montaje del kit pata de cabra","Rendimiento de compactación más alto
* Máximas amplitudes para un efecto de compactación más profundo (Larger amplitud 2,2 mm)
* Flexibilidad en el montaje del kit pata de cabra","Rendimiento de compactación más alto
* Máximas amplitudes para un efecto de compactación más profundo (Larger amplitud 2,2 mm)
* Flexibilidad en el montaje del kit pata de cabra","Calidad de compactación
* Asistente Smart Compact para el ajuste automático
de la potencia de compactación
*Alta carga lineal y fuerza centrífuga","Compactación efectiva
* Gracias a su peso operativo y potencia, logra una compactación eficiente en menos pasadas.
* Amplitud dual: Permite seleccionar entre alta y baja amplitud para distintos materiales (granulares vs cohesivos), optimizando el rendimiento.","Compactación efectiva
* Gracias a su peso operativo y potencia, logra una compactación eficiente en menos pasadas.
* Amplitud dual: Permite seleccionar entre alta y baja amplitud para distintos materiales (granulares vs cohesivos), optimizando el rendimiento.","Mayor carga lineal estática
Tambor de alto peso y excelente contacto con el suelo para lograr profundidad efectiva de compactación.","Mayor carga lineal estática
Tambor de alto peso y excelente contacto con el suelo para lograr profundidad efectiva de compactación.","Diseñado con un sistema de propulsión de doble bomba, las dos bombas suministran un flujo separado y dedicado al motor de accionamiento del tambor y al motor del eje trasero, lo que garantiza una capacidad de ascenso y tracción excepcionales tanto en avance como en retroceso","Mayor tracción y maniobrabilidad
Gracias a su sistema de doble tracción (Drum Drive), el rodillo compactador New Holland domina fácilmente los terrenos más empinados, mientras que su ángulo de giro de 37 grados proporciona una maniobrabilidad excepcional, simplificando el trabajo en espacios reducidos.","Calidad de compactación
* Fuerza centrífuga hasta 320 kN, una de las más altas del segmento.
* Sistema de vibración confiable con buena transferencia de energía.
* Distribución de peso balanceada para compactación uniforme.","Calidad de Compactación
* Rendimiento adecuado para compactación de capas gruesas y materiales cohesivos.
* Diseño del tambor que reduce rebotes y mejora la uniformidad.","Alto rendimiento de compactación
Compactación más rápida de capas más gruesas en menos pasadas.","Calidad de Compactación
* Buen rendimiento para suelos compactables en obras viales, rurales o plataformas.
* Sistema de vibración robusto","Se utilizan ampliamente en trabajos viales, sub-bases, estacionamientos, desarrollos de obra, excavaciones para agua y alcantarillado, así como en terrenos inclinados y superficies irregulare","El sistema opcional de accionamiento del tambor incorpora un motor de alto par en el bastidor delantero, lo que proporciona una excelente capacidad de ascenso (36%) y tracción optimizada."
USP2,Junta de articulación libre de mantenimiento,Junta de articulación libre de mantenimiento,Junta de articulación libre de mantenimiento,Junta de articulación libre de mantenimiento,Junta de articulación libre de mantenimiento,Articulación pendular de 3 puntos para una estabilidad direccional superior,"Junta de articulación
Ofrece un radio de giro estrecho y seguimiento preciso del terreno.","Junta de articulación
Ofrece un radio de giro estrecho y seguimiento preciso del terreno.",Junta de articulación libre de mantenimiento,Junta de articulación libre de mantenimiento,Junta de articulación libre de mantenimiento,"Junta de articulación
Ofrece un radio de giro 37° y seguimiento preciso del terreno.",Articulación con oscilación hidráulica y gran ángulo de giro.," Junta de Articulación
Articulación oscilante de diseño robusto.",Articulación central con bloqueo hidráulico y oscilación automática,,,
USP3,"Trabajo comfortable y seguro
* Espacio de trabajo amplio y con excelente  visibilidad ","Trabajo comfortable y seguro
* Espacio de trabajo amplio y con excelente  visibilidad ","Trabajo comfortable y seguro
* Espacio de trabajo amplio y con excelente  visibilidad ","Trabajo comfortable y seguro
* Espacio de trabajo amplio y con excelente  visibilidad ","Trabajo comfortable y seguro
* Espacio de trabajo amplio y con excelente  visibilidad ","Control y confort
* Gran espacio y comodidad de uso
* Condiciones de trabajo ergonómicamente optimizadas
gracias a su concepto operativo Easy Drive","Control y confort de operación
* Ofrece visibilidad total del tambor y área de trabajo.","Control y confort de operación
* Ofrece visibilidad total del tambor y área de trabajo.","Plataforma con asiento ajustable, controles a mano, y excelente visibilidad de 360°.

Vibración automática (Auto Vibe): El sistema puede activar/desactivar la vibración de forma automática según la velocidad del rodillo o si está detenido, mejorando el control del proces","Plataforma con asiento ajustable, controles a mano, y excelente visibilidad de 360°.

Vibración automática (Auto Vibe): El sistema puede activar/desactivar la vibración de forma automática según la velocidad del rodillo o si está detenido, mejorando el control del proces","Plataforma con asiento ajustable, controles a mano, y excelente visibilidad de 360°.

Vibración automática (Auto Vibe): El sistema puede activar/desactivar la vibración de forma automática según la velocidad del rodillo o si está detenido, mejorando el control del proces","Cabina confortable
Una vez dentro, el ambiente está protegido por la estructura ROPS/FOPS, incluye aire acondicionado y está diseñado para absorber y minimizar las vibraciones generadas durante la operación, asegurando una experiencia de trabajo fluida y sin estrés.","Control y Confort
* Cabina cerrada ROPS/FOPS opcional con aire acondicionado y asiento neumático.
* Palanca tipo joystick para dirección, vibración y cambio de marcha.
* Bajo nivel de vibración transmitida al operador."," Control y Confort
* Cabina opcional con buena visibilidad.
* Panel de instrumentos digital con indicadores de trabajo.
* Asiento ajustable, pero menor confort que modelos premium.","Uso cómodo
• El diseño sencillo del panel de
instrumentos permite un control
fácil y seguro
• Para asegurar la máxima
comodidad la plataforma del
operario está montada en
alojamientos de goma que
amortigua las vibraciones","Control y Confort
Cabina abierta o cerrada con controles simples.

Panel analógico, sin diagnóstico digital.

Ideal para operadores con poca experiencia.","Control y Confort
Cabina abierta o cerrada con controles simples.

Panel analógico, sin diagnóstico digital.

Ideal para operadores con poca experiencia.","Control y Confort
Sistema de aire acondicionado y calefacción eficiente con 8 difusores"
USP4,"Compactación eficiente
Medición y documentación en tiempo real usando: ECONOMIZER, TERRAMETER y BOMAP","Compactación eficiente
Medición y documentación en tiempo real usando: ECONOMIZER, TERRAMETER y BOMAP","Compactación eficiente
Medición y documentación en tiempo real usando: ECONOMIZER, TERRAMETER y BOMAP","Compactación eficiente
Medición y documentación en tiempo real usando: ECONOMIZER, TERRAMETER y BOMAP","Compactación eficiente
Medición y documentación en tiempo real usando: ECONOMIZER, TERRAMETER y BOMAP","Sistema de asistencia de compactación 
Interfaces digitales
* John Deere Operations CenterTM
* Track Assist & WPT Compacting
* Smart Compact","El DCM utiliza un sensor acelerómetro montado en el tambor del compactador, que mide las vibraciones generadas durante la operación","El DCM utiliza un sensor acelerómetro montado en el tambor del compactador, que mide las vibraciones generadas durante la operación","* Amplitud más alta del mercado
* MDP exclusivo de CAT: Mide la resistencia al avance del tambor como un indicador directo del nivel de compactación (ventaja clave frente a modelos tradicionales).","* Amplitud más alta del mercado
* MDP exclusivo de CAT: Mide la resistencia al avance del tambor como un indicador directo del nivel de compactación (ventaja clave frente a modelos tradicionales).","* Amplitud más alta del mercado
","Compactación eficiente
Equipado con dos etapas de vibración para adaptarse a diferentes tipos de suelo, y además con un kit de pata de cabra, garantiza resultados impecables en cualquier tarea.","Sistema inteligente de control de vibración que ajusta la potencia según la resistencia del suelo, evitando sobrecompactación.",,"
Tecnología ACE
* ACEpro ajusta continuamente la frecuencia y amplitud según los valores obtenidos:
• ACEpro elimina los saltos de los tambores
y por eso minimiza el riesgo de excesiva
compactación o deterioro del material
• ACEforce muestra el proceso de compactación mediante la función de
guiado del operario",,,
USP5,"Fácil mantenimiento
* Todos los componentes dispuestos para un fácil acceso 
* Menos mantenimiento en el sistema de refrigeración debido al el punto alto de entrada de aire, menos propenso a contaminación","Fácil mantenimiento
* Todos los componentes dispuestos para un fácil acceso 
* Menos mantenimiento en el sistema de refrigeración debido al el punto alto de entrada de aire, menos propenso a contaminación","Fácil mantenimiento
* Todos los componentes dispuestos para un fácil acceso 
* Menos mantenimiento en el sistema de refrigeración debido al el punto alto de entrada de aire, menos propenso a contaminación","Fácil mantenimiento
* Todos los componentes dispuestos para un fácil acceso 
* Menos mantenimiento en el sistema de refrigeración debido al el punto alto de entrada de aire, menos propenso a contaminación","Fácil mantenimiento
* Todos los componentes dispuestos para un fácil acceso 
* Menos mantenimiento en el sistema de refrigeración debido al el punto alto de entrada de aire, menos propenso a contaminación","Mantenimiento eficiente
Todos los puntos de mantenimiento, la refrigeración de aceite y de agua y la batería son cómodamente accesibles y están concentrados
en un lado de la máquina"," Mantenimiento y Servicio
Diseño de fácil acceso: El capó del motor se abre completamente, permitiendo un acceso rápido a los puntos de mantenimiento diario (filtros, niveles, correas)."," Mantenimiento y Servicio
Diseño de fácil acceso: El capó del motor se abre completamente, permitiendo un acceso rápido a los puntos de mantenimiento diario (filtros, niveles, correas).","Mantenimiento y Servicio
Diseño orientado a bajo mantenimiento:
* Intervalos de mantenimiento extendidos.
* Reducción de puntos de lubricación gracias al uso de componentes sellados.","Mantenimiento y Servicio
Diseño orientado a bajo mantenimiento:
* Intervalos de mantenimiento extendidos.
* Reducción de puntos de lubricación gracias al uso de componentes sellados.","Mantenimiento y Servicio
Diseño orientado a bajo mantenimiento:
* Intervalos de mantenimiento extendidos.
* Reducción de puntos de lubricación gracias al uso de componentes sellados.","Fácil mantenimiento
Con un diseño de capó y compartimiento del motor de una sola pieza, el acceso al rodillo compactador New Holland es fácil para verificar los componentes esenciales, lo que facilita el trabajo del operador y proporciona mayor seguridad y disponibilidad operativa.","Mantenimiento y Servicio
* Capó de apertura total con acceso a 3 lados del motor.
* Sistema de diagnóstico electrónico desde la pantalla de control.
* Componentes hidráulicos y eléctricos dispuestos para fácil inspección.","Mantenimiento y Servicio
Capó lateral basculante, acceso rápido a motor y componentes hidráulicos.

Módulos eléctricos centralizados.

Motores Weichai o Cummins con buena cobertura de repuestos.","Diseño de fácil mantenimiento
Tiempo de inactividad minimizado
gracias a procesos de mantenimiento sencillos y un diseño robusto de la máquina y sus componentes.","Mantenimiento y Servicio
* Motor JCB DieselMax altamente confiable, sin electrónica compleja.
* Capó con apertura completa para acceso rápido.
* Menor necesidad de técnicos especializados.","Diseño excéntrico tipo ‘pod’.
Doble amplitud y frecuencia con bomba y motor de pistón que disminuye las rutinas de mantenimiento","Mantenimiento y Servicio
El mantenimiento diario y regular es posible desde el nivel del suelo gracias al capó abatible de una sola pieza. La reducción de tiempos de inactividad y de costos operativos se traduce en mayor productividad y mejor rentabilidad."
Profundidad de compactación máx (cm) Grava/Arena,60,60,60,60,60,60,55,55,60,60,60,50,60,50,60,55,55,55
Rendimiento en compactación (m3/h),270 - 540,270 - 540,270 - 540,271 - 540,272 - 540,250 - 400,220 - 350,220 - 350,200,200,200,200 - 300,300 - 500,250 - 400,280 - 450,200 - 350,200 - 350,200 - 350
Consumo de combustible (L/h) Carga 70%,11.8,11.8,12.4,12.4,12.4,13.6,13.6,13.6,14.5,14.5,14.5,10.5,15.3,13.6,16.3,13,13,13
Valor galón Diesel (USD),1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Precio CIF (USD),"$57,592.78","$59,374.00","$63,530.18","$68,684.00","$72,948.00","$91,845.10","$90,000.00","$90,000.00","$105,298.85","$105,298.85","$105,298.85","$71,600.00","$56,392.00","$54,786.00","$89,930.00","$84,076.00","$84,076.00","$84,076.00"
Mantenimiento preventivo (USD/h),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mantenimiento correctivo (USD/h),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tiempo de uso (h),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
TCO (USD),"$109,072.78","$110,854.00","$117,170.18","$122,324.00","$126,588.00","$149,805.10","$160,200.00","$160,200.00","$179,548.85","$179,548.85","$179,548.85","$127,850.00","$134,242.00","$124,986.00","$172,280.00","$151,576.00","$151,576.00","$151,576.00"
TCO (USD),TCO (USD),TCO (USD),TCO (USD),,,TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD),TCO (USD)
Tiempo,BW211 D5-SL,BW211 D5-SL,BW211 D5-SL,BW212 D5-SL,BW213 D5-SL,HC110,CA25 D-Rhino,CA35 D-Rhino,CS10GC,CS11GC,CS12,V110,SSR120C-10S,XS123,ASC110,116D,510,1107EX
0,"$28,000.00","$29,630.00","$29,580.00","$29,580.00","$29,580.00","$26,783.00","$25,500.00","$25,500.00","$23,500.00","$23,500.00","$23,500.00","$23,500.00","$23,500.00","$23,500.00","$23,500.00","$23,500.00","$23,500.00","$23,500.00"
1000,"$42,800.00","$44,430.00","$44,980.00","$688,700.00","$713,802.00","$43,383.00","$42,100.00","$735,980.00","$763,038.00","$41,000.00","$772,500.00","$37,000.00","$41,800.00","$40,100.00","$42,800.00","$39,500.00","$708,300.00","$734,380.00"
1500,"$50,200.00","$51,830.00","$52,680.00","$802,660.00","$827,762.00","$51,683.00","$50,400.00","$858,820.00","$885,878.00","$49,750.00","$902,000.00","$43,750.00","$50,950.00","$48,400.00","$52,450.00","$47,500.00","$826,700.00","$852,780.00"
2000,"$57,600.00","$59,230.00","$60,380.00","$916,620.00","$941,722.00","$59,983.00","$58,700.00","$981,660.00","$1,008,718.00","$58,500.00","$1,031,500.00","$50,500.00","$60,100.00","$56,700.00","$62,100.00","$55,500.00","$945,100.00","$971,180.00"
2500,"$65,000.00","$66,630.00","$68,080.00","$1,030,580.00","$1,055,682.00","$68,283.00","$67,000.00","$1,104,500.00","$1,131,558.00","$67,250.00","$1,161,000.00","$57,250.00","$69,250.00","$65,000.00","$71,750.00","$63,500.00","$1,063,500.00","$1,089,580.00"
3000,"$72,400.00","$74,030.00","$75,780.00","$1,144,540.00","$1,169,642.00","$76,583.00","$75,300.00","$1,227,340.00","$1,254,398.00","$76,000.00","$1,290,500.00","$64,000.00","$78,400.00","$73,300.00","$81,400.00","$71,500.00","$1,181,900.00","$1,207,980.00"
